Time,Chilled Water,Electric,Steam,Month,Hour
02/28/2021 05:00:00,0.0,22.375,363.366325,2,5
02/28/2021 06:00:00,0.0,20.425,313.784025,2,6
02/28/2021 07:00:00,0.0,19.9625,386.954125,2,7
02/28/2021 08:00:00,0.0,20.8,386.581075,2,8
02/28/2021 09:00:00,0.0,23.65,389.402725,2,9
02/28/2021 10:00:00,0.0,22.65,489.2185,2,10
02/28/2021 11:00:00,0.0,23.325,480.8097,2,11
02/28/2021 12:00:00,0.0,22.95,474.917275,2,12
02/28/2021 13:00:00,0.0,23.175,436.968775,2,13
02/28/2021 14:00:00,0.0,22.775,435.665475,2,14
02/28/2021 15:00:00,0.0,22.15,386.8846,2,15
02/28/2021 16:00:00,0.0,22.825,387.2997,2,16
02/28/2021 17:00:00,0.0,22.95,287.5317,2,17
02/28/2021 18:00:00,0.0,27.05,386.7518,2,18
02/28/2021 19:00:00,0.0,28.625,315.153425,2,19
02/28/2021 20:00:00,0.0,27.95,365.5576,2,20
02/28/2021 21:00:00,0.0,33.65,291.692275,2,21
02/28/2021 22:00:00,0.0,30.875,361.69235,2,22
02/28/2021 23:00:00,0.0,29.35,310.468575,2,23
03/01/2021 00:00:00,0.0,25.65,356.900475,3,0
03/01/2021 01:00:00,0.0,21.725,322.2504,3,1
03/01/2021 02:00:00,0.0,21.375,359.247625,3,2
03/01/2021 03:00:00,0.0,20.075,309.32385,3,3
03/01/2021 04:00:00,0.0,19.175,286.816875,3,4
03/01/2021 05:00:00,0.0,20.675,296.920675,3,5
03/01/2021 06:00:00,0.0,25.575,279.368775,3,6
03/01/2021 07:00:00,0.0,24.25,286.495925,3,7
03/01/2021 08:00:00,0.0,23.6,262.45645,3,8
03/01/2021 09:00:00,0.0,27.375,287.324525,3,9
03/01/2021 10:00:00,0.0,36.0,312.52365,3,10
03/01/2021 11:00:00,0.0,39.125,315.6313,3,11
03/01/2021 12:00:00,0.0,42.825,339.938475,3,12
03/01/2021 13:00:00,0.0,42.575,312.0502,3,13
03/01/2021 14:00:00,0.0,39.275,386.6511,3,14
03/01/2021 15:00:00,0.0,38.975,287.777325,3,15
03/01/2021 16:00:00,0.0,39.55,490.54015,3,16
03/01/2021 17:00:00,0.0,39.45,390.4288,3,17
03/01/2021 18:00:00,0.0,40.2,425.40245,3,18
03/01/2021 19:00:00,0.0,40.425,486.823875,3,19
03/01/2021 20:00:00,0.0,38.325,442.953825,3,20
03/01/2021 21:00:00,0.0,39.35,395.090775,3,21
03/01/2021 22:00:00,0.0,38.075,479.692925,3,22
03/01/2021 23:00:00,0.0,38.6,461.93865,3,23
03/02/2021 00:00:00,0.0,37.425,489.58875,3,0
03/02/2021 01:00:00,0.0,37.65,514.067225,3,1
03/02/2021 02:00:00,0.0,29.325,460.451275,3,2
03/02/2021 03:00:00,0.0,29.225,411.054425,3,3
03/02/2021 04:00:00,0.0,24.25,461.4103,3,4
03/02/2021 05:00:00,0.0,22.275,422.731325,3,5
03/02/2021 06:00:00,0.0,27.425,474.7951,3,6
03/02/2021 07:00:00,0.0,27.65,465.39375,3,7
03/02/2021 08:00:00,0.0,28.5,463.088075,3,8
03/02/2021 09:00:00,0.0,28.925,563.138025,3,9
03/02/2021 10:00:00,0.0,33.425,642.76915,3,10
03/02/2021 11:00:00,0.0,35.075,615.482025,3,11
03/02/2021 12:00:00,0.0,33.725,664.01135,3,12
03/02/2021 13:00:00,0.0,38.65,613.6765,3,13
03/02/2021 14:00:00,0.0,41.475,614.609,3,14
03/02/2021 15:00:00,0.0,40.425,538.14965,3,15
03/02/2021 16:00:00,0.0,38.9,539.862425,3,16
03/02/2021 17:00:00,0.0,40.15,489.23655,3,17
03/02/2021 18:00:00,0.0,39.125,489.05935,3,18
03/02/2021 19:00:00,0.0,37.975,477.956475,3,19
03/02/2021 20:00:00,0.0,36.925,453.74485,3,20
03/02/2021 21:00:00,0.0,38.3,439.29155,3,21
03/02/2021 22:00:00,0.0,38.05,461.9579,3,22
03/02/2021 23:00:00,0.0,38.05,463.768825,3,23
03/03/2021 00:00:00,0.0,37.233333333,471.321233333,3,0
03/03/2021 01:00:00,0.0,35.8,487.776085714,3,1
03/03/2021 02:00:00,0.0,29.4,417.796475,3,2
03/03/2021 03:00:00,0.0,28.375,389.4228,3,3
03/03/2021 04:00:00,0.0,27.4,385.910125,3,4
03/03/2021 05:00:00,0.0,26.65,386.925025,3,5
03/03/2021 06:00:00,0.0,31.75,385.23515,3,6
03/03/2021 07:00:00,0.0,32.325,388.94165,3,7
03/03/2021 08:00:00,0.0,31.8,390.0938,3,8
03/03/2021 09:00:00,0.0,34.225,464.034675,3,9
03/03/2021 10:00:00,0.0,37.675,418.579875,3,10
03/03/2021 11:00:00,0.0,37.6,477.1914,3,11
03/03/2021 12:00:00,0.0,38.25,478.9157,3,12
03/03/2021 13:00:00,0.0,40.375,405.3834,3,13
