Time,Chilled Water,Electric,Steam,Month,Hour
02/28/2021 05:00:00,4.03578,8.175,1314.95725,2,5
02/28/2021 06:00:00,5.512321111,8.0,1328.46375,2,6
02/28/2021 07:00:00,6.2668725,7.925,1111.970625,2,7
02/28/2021 08:00:00,6.958024285,8.2,1210.3085,2,8
02/28/2021 09:00:00,5.990265,7.9,1324.05,2,9
02/28/2021 10:00:00,3.982828888,7.875,1549.12525,2,10
02/28/2021 11:00:00,4.41701375,8.0,1553.077,2,11
02/28/2021 12:00:00,3.484465714,8.075,1339.072,2,12
02/28/2021 13:00:00,4.21607,8.05,1137.74025,2,13
02/28/2021 14:00:00,3.9179675,8.05,1122.981,2,14
02/28/2021 15:00:00,3.84196875,8.375,1098.6855,2,15
02/28/2021 16:00:00,4.8249825,8.25,1048.70625,2,16
02/28/2021 17:00:00,4.491135,8.2,979.391144444,2,17
02/28/2021 18:00:00,4.89652125,8.6,990.956142857,2,18
02/28/2021 19:00:00,8.489035,8.975,1076.1224,2,19
02/28/2021 20:00:00,6.13785375,9.1,1064.91925,2,20
02/28/2021 21:00:00,8.9473775,9.175,974.6504,2,21
02/28/2021 22:00:00,8.14715,8.625,1011.7861375,2,22
02/28/2021 23:00:00,7.536385,8.65,1095.29,2,23
03/01/2021 00:00:00,6.807465,8.775,1194.919625,3,0
03/01/2021 01:00:00,7.03774,8.5,1239.80225,3,1
03/01/2021 02:00:00,6.417548888,8.55,1185.25575,3,2
03/01/2021 03:00:00,6.435855714,8.225,1212.755,3,3
03/01/2021 04:00:00,5.71457625,8.15,1167.0645,3,4
03/01/2021 05:00:00,3.2934825,7.9,965.536275,3,5
03/01/2021 06:00:00,4.983422222,7.95,988.179266666,3,6
03/01/2021 07:00:00,5.188948571,7.95,765.561742857,3,7
03/01/2021 08:00:00,3.54919,7.625,876.85455,3,8
03/01/2021 09:00:00,4.242583333,8.025,881.920275,3,9
03/01/2021 10:00:00,5.377235,8.125,1072.393325,3,10
03/01/2021 11:00:00,6.122528571,8.125,1248.922,3,11
03/01/2021 12:00:00,3.629485,8.025,1042.922675,3,12
03/01/2021 13:00:00,3.83025875,8.525,1071.82025,3,13
03/01/2021 14:00:00,5.14085,9.025,1169.8355,3,14
03/01/2021 15:00:00,5.60506,9.35,1220.77525,3,15
03/01/2021 16:00:00,5.5927125,9.575,1329.81675,3,16
